rpm,motor_power,torque,outlet_pressure_bar,air_flow,noise_db,outlet_temp,oil_tank_temp,vibration,tp2_pressure,tp3_pressure,metro_oil_temp,motor_current,dv_pressure,supply_temp,return_temp,humidity,hvac_power,energy,ac_type,failure_score,failure,risk_level
499,1405.842858,27.51170834,1.0,308.2898788,40.84051681,78.55471462,45.80617755,1.248464562,-0.0120000000000004,9.358,53.60000000000001,0.04,-0.0240000000000009,19.859999,20.469999,71.110001,0.0,0.0,Cassette_AC,65.2266930365,0,MEDIUM
513,1457.370092,31.03011475,1.081,307.833736,40.48422638,76.90282202,45.82538442,1.2750146436666665,-0.0120000000000004,9.358,53.60000000000001,0.04,-0.0219999999999984,19.855,20.43,71.32,0.0,0.0,Cassette_AC,65.718778772,0,MEDIUM
495,1582.249959,33.48465322,1.369,307.3775932,40.91857209,77.54702101,45.84473004,1.306920191,-0.0120000000000004,9.356,53.62499999999999,0.04,-0.0219999999999984,19.85,20.41,71.470001,0.0,0.0,Normal_AC,67.47814679599999,0,MEDIUM
480,1712.46682,36.39447513,1.691,306.9752484,40.45095335,80.059949,45.81704614,1.324372208,-0.0120000000000004,9.356,53.60000000000001,0.0424999999999995,-0.0219999999999984,19.84,20.379999,71.439995,0.0,0.0,Cassette_AC,69.20429649249999,0,MEDIUM
498,1766.03517,38.24915396,1.731,306.8321319,41.23373887,79.13042388,45.81763956,1.3137014683333332,-0.0120000000000004,9.354,53.62499999999999,0.04,-0.0219999999999984,19.83,20.35,71.580002,0.0,0.0,Cassette_AC,68.8487108505,0,MEDIUM
487,1843.928137,40.18909672,1.936,306.5320197,41.10906336,83.39203234,45.83955595,1.3458647719999999,-0.0120000000000004,9.354,53.60000000000001,0.04,-0.0240000000000009,19.83,20.32,71.599998,0.0,0.0,Normal_AC,71.27031074899999,1,HIGH
503,1885.584836,36.95616972,1.949,306.4273775,41.5159829,84.00256718,45.82111985,1.3405635843333332,-0.0120000000000004,9.352,53.525000000000006,0.04,-0.0240000000000009,19.834999,20.309999,71.659996,0.0,0.0,Centralized_AC,71.35094676,1,HIGH
489,1877.196074,38.21923059,1.985,306.0043583,41.27132984,82.95671672,45.86561504,1.3678184646666667,-0.0120000000000004,9.35,53.525000000000006,0.04,-0.0219999999999984,19.824999,20.299999,71.709999,0.0,0.0,Cassette_AC,71.942432596,1,HIGH
481,1957.281581,41.06024375,2.189,305.6275316,40.490259,83.63655306,45.83518128,1.4051816383333335,-0.0120000000000004,9.35,53.60000000000001,0.0375000000000005,-0.0219999999999984,19.82,20.27,71.739998,0.0,0.0,Cassette_AC,73.523626265,1,HIGH
481,1960.768488,39.5765725,2.192,305.3540754,41.72619525,82.37408824,45.83476145,1.4043108013333334,-0.0120000000000004,9.35,53.69999999999999,0.0424999999999995,-0.0219999999999984,19.809999,20.26,71.790001,0.0,0.0,Cassette_AC,73.37427538749999,1,HIGH
514,2091.282562,40.04531207,2.311,305.1976036,41.48659372,82.62047135,45.94759566,1.4144436703333334,-0.0139999999999993,9.348,53.67500000000001,0.04,-0.0219999999999984,19.799999,20.225,71.760002,0.0,0.0,Centralized_AC,73.94141700549999,1,HIGH
487,2154.268352,45.30870014,2.563,305.1298732,41.46083488,83.50940592,45.85752254,1.472292542,-0.0120000000000004,9.348,53.57499999999999,0.04,-0.0219999999999984,19.809999,20.23,71.879997,0.0,0.0,Normal_AC,76.399252972,1,HIGH
491,2182.219644,44.84862247,2.605,304.7710844,40.42433981,85.66937794,45.88366349,1.4464454863333334,-0.0120000000000004,9.344,53.525000000000006,0.04,-0.0219999999999984,19.805,20.225,72.029999,0.0,0.0,Centralized_AC,76.09236004649999,1,HIGH
493,2247.83226,45.67000201,2.728,304.2877791,40.50476577,84.94484277,45.91672206,1.4820456279999998,-0.0120000000000004,9.344,53.49999999999999,0.04,-0.0240000000000009,19.799999,20.215,72.290001,0.0,0.0,Normal_AC,77.23729439799999,1,HIGH
500,2287.264572,44.82738933,2.768,304.2291952,41.39614713,88.65057425,45.91607026,1.4645130316666666,-0.0120000000000004,9.344,53.62499999999999,0.04,-0.0240000000000009,19.799999,20.195,72.470001,0.0,0.0,Centralized_AC,77.85145658199998,1,HIGH
520,2365.234481,47.77374859,2.812,303.7649245,42.08726059,87.46029404,45.9199946,1.4517257663333334,-0.0139999999999993,9.342,53.47500000000001,0.04,-0.0240000000000009,19.779999,20.195,72.659996,0.0,0.0,Normal_AC,77.3619355885,1,HIGH
517,2528.387645,50.80831721,3.138,303.3753031,42.87469042,88.17564774,45.86485764,1.528131435,-0.0120000000000004,9.342,53.525000000000006,0.04,-0.0240000000000009,19.779999,20.18,72.809998,0.0,0.0,Cassette_AC,80.60305854799999,1,HIGH
